date,open
01/03/2001,210.56
01/05/2001,214.32
01/08/2001,218.12
01/10/2001,222.15
01/12/2001,225.67
01/15/2001,228.35
01/17/2001,232.68
01/19/2001,236.97
01/29/2001,241.36
01/31/2001,245.8
02/02/2001,250.23
02/05/2001,254.96
02/07/2001,259.93
02/09/2001,260.15
02/12/2001,256.18
02/14/2001,252.21
02/16/2001,248.98
02/19/2001,245.99
02/21/2001,246.75
02/23/2001,251.22
02/26/2001,255.61
02/28/2001,252.4
03/02/2001,253.64
03/05/2001,250.73
03/07/2001,248.05
03/09/2001,252.61
03/12/2001,255.99
03/14/2001,257.7
03/16/2001,258.52
03/19/2001,260.29
03/21/2001,261.11
03/23/2001,259.6
03/26/2001,260.11
03/28/2001,264.7
03/30/2001,269.3
04/02/2001,274.43
04/04/2001,279.56
04/06/2001,284.69
04/09/2001,289.82
04/11/2001,295.09
04/13/2001,300.36
04/16/2001,306.16
04/18/2001,311.96
04/20/2001,317.76
04/23/2001,313.74
04/25/2001,315.27
04/27/2001,321.07
05/02/2001,327.13
05/04/2001,332
05/07/2001,338.35
05/09/2001,344.47
05/11/2001,351.06
05/14/2001,357.65
05/16/2001,364.27
05/18/2001,370.9
05/21/2001,377.43
05/23/2001,384.16
05/25/2001,390.88
05/28/2001,397.5
05/30/2001,404.26
06/01/2001,411.03
06/04/2001,417.79
06/06/2001,424.56
06/08/2001,426.58
06/11/2001,428.02
06/13/2001,456.18
06/15/2001,486.34
06/18/2001,518.62
06/20/2001,553.56
06/22/2001,563
06/25/2001,571.04
06/27/2001,531.93
06/29/2001,500.28
07/02/2001,491.17
07/04/2001,512.8
07/06/2001,502.93
07/09/2001,470.83
07/11/2001,436.13
07/13/2001,416.46
07/16/2001,411.43
07/18/2001,438.12
07/20/2001,466.67
07/23/2001,438.33
07/25/2001,450.87
07/27/2001,445.37
07/30/2001,422.46
08/01/2001,395.63
08/03/2001,371.76
08/06/2001,350.69
08/08/2001,373.63
08/10/2001,394.18
08/13/2001,368.34
08/15/2001,344.31
08/17/2001,321.83
08/20/2001,302.25
08/22/2001,320.98
08/24/2001,300.03
08/27/2001,279.65
08/29/2001,261.35
08/31/2001,277.4
09/05/2001,296.43
09/07/2001,307.76
09/10/2001,286.55
09/12/2001,284.68
09/14/2001,274.64
09/17/2001,266.09
09/19/2001,273.37
09/21/2001,272.03
09/24/2001,259.75
09/26/2001,249.72
09/28/2001,244.46
